strain,sex,animal_id,WBC,RBC,mHGB,HCT,MCV,MCH,MCHC,CHCM,RDW,HDW,NEUT,LYM,MONO,EOS,LUC,BASO,Retic,cHGB,PLT,MPV,Fib,PT,PTT
MOLF/EiJ,m,0550M28,9.12,7.39,12.1,33.1,44.7,16.4,36.7,34.8,22.6,4.04,24.7,67.5,1.2,2.5,1.6,2.5,12.1,11.5,1410,6.5,128,12,27
MOLF/EiJ,m,0550M29,10.1,8.2,13.2,35.9,43.8,16.1,36.9,35,19.1,3.23,17.3,76.9,1.4,2.7,1.1,0.6,8.7,12.6,1060,4.5,170,11.7,24.5
MOLF/EiJ,m,0550M31,8.49,9.29,13.8,39.8,42.9,14.9,34.7,33.7,15.5,2.76,7.2,87.2,1.7,2.4,1,0.7,3.8,13.4,702,7.8,,12.2,23.9
MOLF/EiJ,m,0550M32,15.3,8.68,14.1,39.6,45.6,16.3,35.7,32.8,20.4,3.23,13.2,79.8,1.8,3.3,1.1,0.8,6.8,13,1130,12,,,
MOLF/EiJ,m,0550M33,15.8,9.51,15.1,44.4,46.6,15.9,34.1,31.8,22.7,2.96,13.5,80.4,2,2.3,1.4,0.5,9.3,14.1,1130,10.5,167,12.4,26.1
MOLF/EiJ,m,0550M34,15,8.38,13.8,38.7,46.1,16.5,35.7,32.3,21.5,3.13,18.1,76,1.4,2.2,1.5,0.7,10.2,12.5,1420,14.6,205,11.8,22.6
MOLF/EiJ,m,0550M35,9.88,9.08,14.8,40.3,44.4,16.3,36.7,32.8,20.1,3,12.4,82.2,1.1,2.8,0.6,0.9,9.7,13.2,1710,11.5,191,12.3,24
MOLF/EiJ,m,0550M36,9.87,7.9,12.3,40.6,51.4,15.6,30.3,27.7,27.3,8.6,25.9,63,3.2,3,1.1,3.6,8.5,11.2,713,4.2,,,
MOLF/EiJ,m,0550M37,15.6,7.62,11.4,34.2,45,14.9,33.2,32.9,24.2,5.81,18.3,72.5,2.1,2.6,3.2,1.4,8.2,11.3,525,8.4,,,
MOLF/EiJ,m,0550M38,7.88,6.73,10.2,30.2,44.9,15.2,33.8,33.3,24.6,3.88,33.4,59.2,2.9,2.1,1.3,1.1,10.3,10.1,807,5.8,,,
MOLF/EiJ,m,0550M61,,,,,,,,,,,,,,,,,,,,,,11.1,22.8
MSM/MsJ,f,3719F02,4.79,8.06,13,41.2,51.1,16.2,31.6,31,26.8,6.24,7.3,85.4,0.8,2.9,0.7,2.8,2.5,12.8,900,4.3,,11.5,
MSM/MsJ,f,3719F03,3.57,8.59,13.2,42,48.9,15.4,31.4,30.8,26.7,6.95,9.7,82.8,0.8,4.3,0.3,1.9,1.2,12.9,870,3.8,,,
MSM/MsJ,f,3719F04,4.61,7.9,13,40.4,51.1,16.4,32.2,29.5,27.9,7.8,9.7,83.3,1,3.1,0.8,2.1,2.7,11.9,1230,4,,10.5,
MSM/MsJ,f,3719F06,,,,,,,,,,,,,,,,,,,,,,12.8,
MSM/MsJ,f,3719F09,5.79,7.41,12,34.2,46.2,16.2,35.1,32,21.9,4.42,12.9,81.6,0.8,2.2,0.6,1.9,3.4,11,1230,5.4,,,
MSM/MsJ,f,3719F10,6.05,8.12,13,38.3,47.2,16,33.8,31.8,22.1,3.33,9.5,83.5,1,2.8,0.9,2.3,3.3,12.2,942,8.1,,,
MSM/MsJ,f,3719F14,,,,,,,,,,,,,,,,,,,,,,,30.8
MSM/MsJ,f,3719F40,5.62,7.91,13,36.7,46.4,16.4,35.3,33.7,23.8,3.72,10,84.9,1,3.3,0.4,0.4,0.7,12.4,937,3.6,,14.9,
MSM/MsJ,f,3719F41,,,,,,,,,,,,,,,,,,,,,157,10.5,
MSM/MsJ,f,3719F42,,,,,,,,,,,,,,,,,,,,,89.4,11.3,19.6
MSM/MsJ,f,3719F43,5.28,8.3,13.8,38.2,46,16.6,36.1,33,20.9,2.89,7.4,88.9,0.7,2.4,0.2,0.3,1.9,12.6,1250,4.3,139,12.2,17.7
MSM/MsJ,f,3719F44,4.16,6.9,12.3,32.5,47,17.8,37.9,32,24.3,5.55,13.5,81.1,1,3,0.3,1.1,2.3,10.4,1510,8.1,79,12,18.4
MSM/MsJ,f,3719F45,,,,,,,,,,,,,,,,,,,,,167,,16.3
MSM/MsJ,f,3719F46,,,,,,,,,,,,,,,,,,,,,153,,16.2
MSM/MsJ,f,3719F48,,,,,,,,,,,,,,,,,,,,,,,20.8
MSM/MsJ,f,3719F49,,,,,,,,,,,,,,,,,,,,,,12.1,
MSM/MsJ,f,3719F55,7.11,8.41,10.9,38.9,46.3,13,28,33.2,21.1,3.69,10.4,85.4,1.2,2.2,0.4,0.4,1.5,12.9,1050,3.6,,,
MSM/MsJ,f,3719F56,7,8.41,13.6,38.3,45.5,16.2,35.5,33.4,20.1,2.31,13.9,82.8,1,1.4,0.8,0.2,1.8,12.8,1000,3.6,,,
MSM/MsJ,f,3719F58,4.72,7.54,12.9,41.4,54.9,17.1,31.1,29.2,28.2,8.39,13.8,80.2,0.8,3.4,0.5,1.3,1.9,12.1,1150,4,,,
MSM/MsJ,f,3719F70,,,,,,,,,,,,,,,,,,,,,,11,
MSM/MsJ,f,3719F71,,,,,,,,,,,,,,,,,,,,,62.7,,
MSM/MsJ,f,3719F74,,,,,,,,,,,,,,,,,,,,,88.2,,
MSM/MsJ,f,3719F75,,,,,,,,,,,,,,,,,,,,,113,,18.7
MSM/MsJ,f,3719F76,,,,,,,,,,,,,,,,,,,,,89.1,,19.2
MSM/MsJ,f,3719F78,,,,,,,,,,,,,,,,,,,,,,,21.1
MSM/MsJ,m,3719M02,14.4,7.58,12.3,38.6,50.9,16.2,31.9,31.7,23.3,3.46,52.1,41.8,1.6,1,3.7,,1.2,12.2,1740,3.8,,,
MSM/MsJ,m,3719M03,3.73,8.91,13.7,42.3,47.4,15.3,32.3,31.7,19.4,2.49,21,70.4,1.4,3.4,0.9,3,1.2,13.4,1710,4.1,,10.6,
MSM/MsJ,m,3719M04,6.85,7.39,12.2,34.9,47.2,16.6,35.1,31.2,22.9,4.57,9.9,83.8,1.3,2.2,0.8,2,2.5,10.9,1470,4.7,,,
MSM/MsJ,m,3719M05,5.24,7.47,11.7,37,49.5,15.7,31.7,30.3,21.3,2.68,13.6,79.6,1.1,3.3,0.9,1.6,3,11.2,1650,7.2,,9.95,
MSM/MsJ,m,3719M06,6.2,7.17,11.7,36.1,50.4,16.3,32.4,30.7,21.9,2.65,27.8,65.1,1.1,2.8,1.7,1.5,4.4,11.1,1320,7.2,,,
MSM/MsJ,m,3719M07,10,5.51,9,27.4,49.7,16.4,33,30.9,26.1,4.44,31.3,60,,0.1,0.3,2.5,10.7,8.5,1870,4.3,347,9.03,
MSM/MsJ,m,3719M08,9.19,7.15,11.8,36.1,50.5,16.5,32.6,30.6,23.8,3.01,37.9,55.4,0.8,2.2,1.6,2,8.7,11,1310,5.5,,,
MSM/MsJ,m,3719M11,7.56,10.3,15.1,47.2,45.7,14.6,32,29.5,16.5,1.82,9.9,85.9,1.4,1.7,0.9,0.2,2.3,13.9,1110,4.2,,,
MSM/MsJ,m,3719M12,,,,,,,,,,,,,,,,,,,,,,10.3,
MSM/MsJ,m,3719M13,8.18,6.97,10.9,31.4,45.1,15.6,34.6,31.7,25.3,4.02,39.1,54.7,1,2.2,1.8,1.2,7.2,10,1690,4.2,,,
MSM/MsJ,m,3719M14,6.65,9.01,13.4,39.1,43.4,14.8,34.1,32,22.7,2.71,19.6,73.6,1.5,3.5,1.3,0.5,4.4,12.5,1330,3.8,,,
MSM/MsJ,m,3719M15,9.75,8.18,12,36.8,45,14.7,32.7,31.8,23.7,2.97,34.6,59,1.6,1.7,2.2,0.9,6.3,11.7,1750,4.2,,,
MSM/MsJ,m,3719M18,,,,,,,,,,,,,,,,,,,,,157,10.3,
MSM/MsJ,m,3719M19,,,,,,,,,,,,,,,,,,,,,,10.7,
MSM/MsJ,m,3719M20,,,,,,,,,,,,,,,,,,,,,197,,
MSM/MsJ,m,3719M45,,,,,,,,,,,,,,,,,,,,,,10.1,20.8
MSM/MsJ,m,3719M46,,,,,,,,,,,,,,,,,,,,,78.8,11.9,19.4
MSM/MsJ,m,3719M47,,,,,,,,,,,,,,,,,,,,,194,11.2,
MSM/MsJ,m,3719M48,,,,,,,,,,,,,,,,,,,,,150,11.4,
MSM/MsJ,m,3719M49,,,,,,,,,,,,,,,,,,,,,149,,16.9
MSM/MsJ,m,3719M50,,,,,,,,,,,,,,,,,,,,,,,14.9
MSM/MsJ,m,3719M51,,,,,,,,,,,,,,,,,,,,,,10.9,
MSM/MsJ,m,3719M52,,,,,,,,,,,,,,,,,,,,,98.5,,21.2
MSM/MsJ,m,3719M54,,,,,,,,,,,,,,,,,,,,,174,,
MSM/MsJ,m,3719M55,,,,,,,,,,,,,,,,,,,,,,,14.7
MSM/MsJ,m,3719M58,,,,,,,,,,,,,,,,,,,,,,,17.2
MSM/MsJ,m,3719M60,,,,,,,,,,,,,,,,,,,,,,,14.2
MSM/MsJ,m,3719M61,,,,,,,,,,,,,,,,,,,,,161,,16.9
MSM/MsJ,m,3719MO1,,,,,,,,,,,,,,,,,,,,,,9.39,
NOD/ShiLtJ,f,1976F01,5.73,8.95,15,45.2,50.5,16.7,33.2,34.8,16.1,2.43,19.2,63,1.4,,0.4,3.9,7.3,15.7,840,5.9,187,10,21.2
NOD/ShiLtJ,f,1976F02,4.15,8.47,14,44,51.9,16.5,31.8,33.3,17.9,3.11,13.9,77.3,1.5,3,0.6,3.7,13.4,14.7,1050,6.3,223,10.1,21.2
NOD/ShiLtJ,f,1976F03,5.05,8.16,13.5,42.6,52.2,16.5,31.7,33.4,16.9,2.85,17.4,75.3,1.1,2.7,0.7,2.6,9,14.2,1380,6.5,174,10.2,24
NOD/ShiLtJ,f,1976F04,6.14,9.08,14.9,46.2,50.9,16.4,32.3,34.4,15.6,2.59,13.9,71,1.7,,0.3,5.1,8.3,15.9,926,6.1,196,9.89,21.6
NOD/ShiLtJ,f,1976F05,4.68,8.8,14.5,44.2,50.3,16.5,32.8,34,16.9,2.84,24.3,68.8,1.9,4.6,0.4,5.2,10.7,15.1,974,6,191,10.2,21.5
NOD/ShiLtJ,f,1976F06,5.49,8.7,14.3,43.1,49.6,16.4,33.1,34.3,16.1,2.58,17,74.3,1.4,4,0.4,2.8,8.4,14.8,1200,6,176,9.87,22.7
NOD/ShiLtJ,f,1976F07,5.49,8.94,15.1,46.2,51.7,16.9,32.8,33.9,17,2.64,14,78.4,1.2,3,0.7,2.7,8.9,15.7,850,7.3,198,9.72,20.9
NOD/ShiLtJ,f,1976F08,5.29,8.79,14.8,45,51.2,16.9,33,33.5,16,2.46,16.5,75.1,0.7,2.5,0.5,4.7,8.9,15.1,1380,5.8,217,10.4,22.9
NOD/ShiLtJ,f,1976F09,4.12,8.69,14.4,43,49.5,16.6,33.5,34.7,16.4,2.59,10.8,75.9,1,7.3,0.6,4.5,8.6,14.9,1320,6,190,10.1,25.8
NOD/ShiLtJ,f,1976F10,4.58,9.06,15.1,45.9,50.6,16.7,33,34.1,17.1,2.59,21.4,72,2.5,3.2,1,7,9.5,15.7,1000,6,,,
NOD/ShiLtJ,m,1976M01,3.75,9.28,15.1,45.8,49.3,16.3,33.1,34.1,16.2,2.57,25.4,65.5,2.2,2.1,0.7,4,7.9,15.6,1950,5.9,,9.99,24.5
NOD/ShiLtJ,m,1976M02,4.06,8.92,14.7,44.4,49.7,16.4,33,34,15.9,2.49,20.3,53.6,2.4,,0.4,1.9,8.8,15.1,1180,6.3,,9.23,23.2
NOD/ShiLtJ,m,1976M03,4.79,7.03,12.2,36.2,51.5,17.3,33.7,34.4,19.8,2.93,18.4,77.3,1.8,2,0.6,4.7,,12.5,1600,6.6,,9.7,22.4
NOD/ShiLtJ,m,1976M04,7.2,9.11,15,44.9,49.3,16.4,33.4,34.6,15.3,2.41,20.8,65.1,2.1,,0.6,6.8,7,15.5,1280,6.5,216,10.1,25.3
NOD/ShiLtJ,m,1976M05,4.68,8.15,15.1,41.1,50.4,18.5,36.8,34.4,15.2,2.19,17.9,74.3,2.1,5.2,0.6,5.3,5.2,14.1,1360,6.6,248,10.4,22.6
NOD/ShiLtJ,m,1976M06,6.25,8.43,14.5,44.2,52.5,17.2,32.7,34.3,16.7,2.46,26.6,67.1,3.4,1.9,0.9,5.8,7.5,15.2,1430,6.6,258,10.3,21.4
NOD/ShiLtJ,m,1976M07,6.36,8.14,13.3,41.7,51.2,16.4,32,33.9,16.3,2.79,14.9,78.7,2.7,2.4,1.4,6.7,11.7,14.1,1480,6.7,243,10.3,21.9
NOD/ShiLtJ,m,1976M08,5.63,8.59,14,41.8,48.6,16.3,33.6,34.7,15.7,2.3,19.8,71.1,1.9,2.4,0.9,4,6.9,14.5,1470,5.8,,10.2,
NOD/ShiLtJ,m,1976M09,6.37,8.87,14.9,42.9,48.4,16.8,34.7,32.4,15.7,2.26,22.6,70.9,2.8,2.5,1.2,6.6,6.9,13.9,1620,5.5,240,9.97,21.9
NOD/ShiLtJ,m,1976M10,4.11,8.79,15.3,44.5,50.7,17.4,34.4,31.5,15.1,2.21,23.1,67.3,2.5,2.5,1,3.5,4.7,14,1200,9.9,255,9.74,21.2
NOD/ShiLtJ,m,1976M36,,,,,,,,,,,,,,,,,,,,,74.3,,
NOD/ShiLtJ,m,1976M37,,,,,,,,,,,,,,,,,,,,,117,,
NOD/ShiLtJ,m,1976M38,,,,,,,,,,,,,,,,,,,,,204,,
NOD/ShiLtJ,m,1976M39,,,,,,,,,,,,,,,,,,,,,106,,
NOD/ShiLtJ,m,1976M40,,,,,,,,,,,,,,,,,,,,,113,,20.6
NON/ShiLtJ,f,2423F01,4.15,8.72,14.7,42.4,48.6,16.9,34.8,30,16.2,2.5,22.9,68.8,4.2,2.6,1.5,0.1,5.2,12.7,1030,5.6,,,
NON/ShiLtJ,f,2423F02,5.03,9.84,16.1,47.7,48.4,16.4,33.8,30.3,16.5,2.31,17.3,77.9,1.5,2.3,0.8,0.1,2.6,14.4,1150,5.4,143,9.04,27.6
NON/ShiLtJ,f,2423F03,4.52,9.15,14.8,44.3,48.4,16.2,33.5,31,16.5,2.52,17.4,75.8,2.2,3.1,1.3,0.2,4,13.7,1030,5.4,,9.5,21.6
NON/ShiLtJ,f,2423F04,4.47,9.14,15.1,42.5,46.5,16.5,35.5,31.9,15.3,2.77,16.7,74.5,1.2,5.6,1.1,0.9,5,13.5,838,7,188,9.19,25.2
NON/ShiLtJ,f,2423F05,3.04,9.32,15.5,45.7,49,16.7,34,30.6,16.1,2.43,18.9,74.8,2,2.7,1.6,0.1,3.6,14,1140,5.2,,,
NON/ShiLtJ,f,2423F06,4,9.41,15.6,47.3,50.2,16.6,33.1,29.7,15.8,2.31,19.1,72.6,2.2,4.4,1.4,0.3,3.4,14,934,7,238,8.77,22.7
NON/ShiLtJ,f,2423F07,5.43,9.71,15.7,46,47.4,16.2,34.1,31,15.1,2.55,17.7,75.4,2.2,3.7,0.9,0.1,4.9,14.3,1300,5,,,25.4
NON/ShiLtJ,f,2423F08,4.72,9.53,15.7,44.1,46.3,16.5,35.7,31.9,16,2.73,23.8,61.1,1.4,,1.3,0.6,3.3,14.1,529,6.8,,,
NON/ShiLtJ,f,2423F09,6.44,9.6,15.8,49.9,52,16.5,31.7,28.3,15.5,2.37,16.4,74,2.8,4.7,1.8,0.3,4.3,14.1,1060,5.9,138,9.18,23.1
NON/ShiLtJ,f,2423F10,4.97,9.87,16.3,46.7,47.4,16.5,34.9,31.5,14.9,2.57,21,71.1,3.1,2.9,1.6,0.2,1.7,14.7,1340,5.2,165,9.33,22.4
NON/ShiLtJ,f,2423F11,,,,,,,,,,,,,,,,,,,,,162,10.3,21.1
NON/ShiLtJ,f,2423F12,,,,,,,,,,,,,,,,,,,,,196,10.2,21.4
NON/ShiLtJ,f,2423F13,,,,,,,,,,,,,,,,,,,,,150,10.6,21.7
NON/ShiLtJ,f,2423F14,,,,,,,,,,,,,,,,,,,,,180,10.4,22.9
NON/ShiLtJ,f,2423F15,,,,,,,,,,,,,,,,,,,,,147,9.83,21.2
NON/ShiLtJ,f,2423F16,,,,,,,,,,,,,,,,,,,,,162,,
NON/ShiLtJ,m,2423M01,4.92,8.2,14.6,38.3,46.7,17.8,38.1,30.4,15.2,2.52,19,66.4,3,10.7,0.8,0.1,5.8,11.6,828,5.9,280,9.48,22.2
NON/ShiLtJ,m,2423M02,4.14,8.63,14.3,40.8,47.3,16.6,35,31.3,16.8,2.93,32,59.8,2.4,3.5,1.9,0.4,10.7,12.8,1410,5.4,,,
NON/ShiLtJ,m,2423M03,5.64,9.46,14.9,46.7,49.4,15.8,31.9,29.3,14.1,2.14,32.9,53.8,1.4,10.8,0.9,0.2,5.4,13.7,670,6.2,255,9.5,21.9
NON/ShiLtJ,m,2423M04,3.1,9.42,15,42.8,45.5,15.9,35,31.9,15.9,2.73,18,56.9,2.8,,0.4,0.3,6.4,13.7,551,6.7,237,9.39,31.3
NON/ShiLtJ,m,2423M05,7.12,8.84,14.1,41.4,46.8,15.9,34,30.7,16.5,2.8,40.6,50.1,3.5,2.5,,0.1,7.3,12.7,1210,5.1,,,
NON/ShiLtJ,m,2423M06,6.17,9.06,14.9,43.3,47.8,16.4,34.3,30.9,15.1,2.42,25.4,66,3.1,3.8,1.4,0.2,4.6,13.4,1110,5,200,10.1,28.7
NON/ShiLtJ,m,2423M07,4.19,8.88,14.3,43.8,49.3,16.1,32.6,29.3,16.1,2.58,27,64.1,3.4,4.3,1.1,0.1,6.6,12.8,1130,5.1,,,
NON/ShiLtJ,m,2423M08,,,,,,,,,,,,,,,,,,,,,273,9.76,24.5
NON/ShiLtJ,m,2423M09,5.45,8.97,14.2,42,46.8,15.8,33.7,30.9,16.3,2.62,27,63.6,4.1,4.1,1,0.2,5.7,13,1220,5,,,
NON/ShiLtJ,m,2423M11,5.64,9.13,15.1,44.3,48.5,16.5,34,32.8,15.7,2.34,14.1,75.1,2.4,5.1,0.2,,5.6,14.5,1270,11.9,210,10.1,
NON/ShiLtJ,m,2423M12,12.8,9.44,15.5,45.5,48.2,16.4,34.1,33.3,14.7,2.32,,,1.2,2.8,0.2,1.6,5.3,15.1,1170,13.9,,,
NON/ShiLtJ,m,2423M13,,,,,,,,,,,,,,,,,,,,,250,10.4,23.7
NON/ShiLtJ,m,2423M20,,,,,,,,,,,,,,,,,,,,,239,8.49,25.1
NON/ShiLtJ,m,2423M22,,,,,,,,,,,,,,,,,,,,,279,10.3,22.2
NON/ShiLtJ,m,2423M23,,,,,,,,,,,,,,,,,,,,,288,10.6,21.2
NON/ShiLtJ,m,2423M24,,,,,,,,,,,,,,,,,,,,,267,10.4,25
NON/ShiLtJ,m,2423M25,,,,,,,,,,,,,,,,,,,,,251,10.5,
NZB/BlNJ,f,0684F01,4.1,9.73,15.2,45.5,46.7,15.6,33.4,32.7,16.7,2.68,15.8,63,1.2,,0.3,,3.3,14.9,1150,9,186,9.88,23.2
NZB/BlNJ,f,0684F02,9.04,6.29,8.9,26,41.4,14.2,34.4,34,20.9,4.24,,,2.5,2.7,1.6,3.4,9.6,,1200,5.2,,,
NZB/BlNJ,f,0684F40,4.16,9.12,15,37.7,41.3,16.5,39.9,36.4,14.3,3,20.9,60.9,1.8,14.2,0.2,2.2,2.4,13.7,1520,9.5,,,
NZB/BlNJ,f,0684F41,5.68,8.86,14.7,37.1,41.9,16.6,39.7,36.1,14.8,2.91,18.4,72.1,2.2,5.5,0.4,1.4,3.7,13.4,1440,11.9,,,
NZB/BlNJ,f,0684F42,7.02,8.87,14.1,36.8,41.4,15.9,38.2,35.9,15.9,3.42,18.4,73.8,2.3,2.7,0.4,2.3,4.4,13.2,1500,10.1,,,
NZB/BlNJ,f,0684F43,5.29,8.81,14,36.6,41.6,15.9,38.3,36.1,14.8,2.9,19.6,71.6,2.2,5.1,0.3,1.1,4.1,13.2,1290,11.4,,,
NZB/BlNJ,f,0684F44,3.83,8.66,13.8,35.7,41.2,16,38.7,36.4,14.5,2.9,24.9,64.1,3,5.9,0.2,1.8,3.8,13,1340,7.9,,,
NZB/BlNJ,f,0684F45,5.28,8.84,14.6,37,41.9,16.5,39.5,36.1,14.8,2.8,14.7,72,2.5,9.8,0.2,0.8,4.3,13.4,1220,13.2,,,
NZB/BlNJ,f,0684F46,7.55,8.91,14.7,37.8,42.4,16.5,38.9,36,15.1,2.87,9.1,86.6,1.4,1.7,0.4,0.8,4.7,13.6,1430,10,,,
NZB/BlNJ,f,0684F47,4.4,9.21,14.8,39,42.3,16.1,38,35.8,14.9,2.83,23.5,64.7,3.2,7.1,0.4,1.1,5.2,14,1180,10.5,,,
NZB/BlNJ,f,0684F48,5.98,8.33,13.5,34.7,41.7,16.2,38.9,36.1,15,2.84,17.5,74,2.6,4.4,0.4,1,4.8,12.5,1260,10.6,,,
NZB/BlNJ,f,0684F49,6.91,9.05,14.6,38.6,42.7,16.1,37.8,35.8,14.8,2.73,16,67.5,2.2,12.8,0.4,1.1,4,13.8,1360,10.3,,,
NZB/BlNJ,f,0684F50,,,,,,,,,,,,,,,,,,,,,219,9.75,21.7
NZB/BlNJ,f,0684F51,,,,,,,,,,,,,,,,,,,,,106,10.2,26
NZB/BlNJ,f,0684F52,,,,,,,,,,,,,,,,,,,,,,12.3,
NZB/BlNJ,f,0684F53,,,,,,,,,,,,,,,,,,,,,142,9.92,22
NZB/BlNJ,f,0684F54,,,,,,,,,,,,,,,,,,,,,,,26.8
NZB/BlNJ,f,0684F55,,,,,,,,,,,,,,,,,,,,,193,10.8,
NZB/BlNJ,f,0684F56,,,,,,,,,,,,,,,,,,,,,190,10.6,28.7
NZB/BlNJ,f,0684F57,,,,,,,,,,,,,,,,,,,,,235,9.6,20.7
NZB/BlNJ,f,0684F58,,,,,,,,,,,,,,,,,,,,,241,10.1,20
NZB/BlNJ,f,0684F59,,,,,,,,,,,,,,,,,,,,,180,10.5,
NZB/BlNJ,f,0684F60,,,,,,,,,,,,,,,,,,,,,230,9.78,23.1
NZB/BlNJ,f,0684F61,,,,,,,,,,,,,,,,,,,,,210,9.97,24.7
NZB/BlNJ,f,0684F62,,,,,,,,,,,,,,,,,,,,,241,10.3,21.4
NZB/BlNJ,m,0684M01,,,,,,,,,,,,,,,,,,,,,285,9.3,23.4
NZB/BlNJ,m,0684M02,4.46,9.55,15,44.9,47,15.7,33.5,31.2,16.2,2.15,20.9,61.2,2.6,12.6,0.6,2.1,3.1,14,791,10.5,277,9.1,25
NZB/BlNJ,m,0684M03,2.65,9.2,14.6,42.1,45.7,15.9,34.7,32.1,15.6,2.19,24.3,58.9,2.6,9.7,0.3,4.1,1.7,13.5,1360,9.3,274,9.4,23.2
NZB/BlNJ,m,0684M04,3.27,8.73,13.3,39.6,45.4,15.3,33.6,32.5,18.2,3.12,22.9,67.4,2.5,7.2,0.1,5.3,3.7,12.9,1410,6.8,125,10,26.3
NZB/BlNJ,m,0684M05,4.93,9.47,14.4,41.8,44.1,15.2,34.5,33.1,15.7,2.3,41.4,47.2,2.3,8.6,0.5,5,3.4,13.9,1000,7.7,,,
NZB/BlNJ,m,0684M06,2.87,10.2,16.1,47.6,46.7,15.8,33.9,31.5,15.2,2.15,26.3,55.8,3,12.6,0.3,2,4.3,15,1370,10.8,184,10.8,
NZB/BlNJ,m,0684M07,3.97,8.69,13.5,39.3,45.2,15.5,34.4,32.9,16.7,2.75,35.2,57.8,3,3.9,0.2,5.7,4.1,12.9,1630,7.2,249,9.5,26.6
NZB/BlNJ,m,0684M08,2.88,9.36,14.1,40,42.8,15.1,35.2,32.9,14.2,2.13,23.6,63.2,2,7.8,0.5,2.9,2.2,13.2,1780,8.1,375,9.7,21.9
NZB/BlNJ,m,0684M09,3.22,8.5,12.3,36.4,42.9,14.5,33.8,33.2,16.8,2.95,22.5,71.2,2.3,3.8,0.2,4.5,4.3,12.1,1610,7.4,242,13,
NZB/BlNJ,m,0684M10,3.7,9.53,14.7,42.8,44.9,15.4,34.3,32,14.9,2.22,26.1,51.5,2.8,,0.4,3.5,3.4,13.7,1280,9.6,99.4,10.6,27.8
NZB/BlNJ,m,0684M21,,,,,,,,,,,,,,,,,,,,,253,10.5,
NZB/BlNJ,m,0684M23,,,,,,,,,,,,,,,,,,,,,,,22.9
NZB/BlNJ,m,0684M25,,,,,,,,,,,,,,,,,,,,,,,21.4
NZW/LacJ,f,1058F01,8.41,8.75,14.4,43.8,50.1,16.4,32.7,33.5,17.4,2.74,9.7,84.7,1.1,0.3,0.9,3.2,11.8,14.7,1120,11.4,100,10.1,23.2
NZW/LacJ,f,1058F02,8.95,8.61,14.9,43.8,50.9,17.3,34,32.8,17.2,2.76,10.5,85.2,1.5,0.3,0.6,1.9,12.7,14.4,1470,16.3,195,9.8,20.2
NZW/LacJ,f,1058F03,8.82,8.87,14.6,43,48.5,16.4,33.9,34,16.3,2.62,11.9,82.8,0.9,0.3,0.8,3.3,8.3,14.6,1300,13.9,,10.5,25.6
NZW/LacJ,f,1058F04,8.99,9.03,15,45.5,50.3,16.6,32.9,33.7,17.7,2.96,14.7,76.7,1.1,2.3,1,4.2,9,15.3,1080,11.6,211,9.99,20
NZW/LacJ,f,1058F05,8.6,9.02,14.6,44.9,49.7,16.2,32.6,33.3,16.4,2.63,10.2,85.4,1.5,0.7,0.8,1.4,9.6,14.9,1380,8.3,184,10.2,21.1
NZW/LacJ,f,1058F06,11,9.54,15.5,46.2,48.4,16.3,33.6,33.6,15.9,2.48,12.1,79.7,1,2.6,1.6,2.9,6.8,15.5,1260,11.7,,,
NZW/LacJ,f,1058F07,8.32,8.98,14.5,44.5,49.6,16.1,32.5,33.5,17.3,2.98,13.5,80.2,2.2,0.3,0.7,3.1,11.3,14.9,1160,11.9,162,9.88,23.6
NZW/LacJ,f,1058F08,14.4,7.96,12.9,38.3,48.1,16.2,33.6,35.5,18.9,3.65,11.9,82.3,0.9,0.3,1.1,3.6,4.5,13.6,1350,6.2,221,9.91,19.9
NZW/LacJ,f,1058F09,15,9,14,43.5,48.4,15.5,32.1,34.8,17.6,3.29,7.8,84.4,1.5,5.3,1,5.3,4.8,15.1,1180,6.3,196,10.2,20.4
NZW/LacJ,f,1058F10,13,8.12,12.9,38.9,47.9,15.8,33.1,35.4,16.5,3.32,13,80.6,1.3,0.5,1,3.7,4.8,13.7,1410,6.1,230,10.2,20.5
NZW/LacJ,f,1058F11,14,8.28,13.1,40.2,48.6,15.8,32.5,34.9,20.3,4.96,11.1,85.7,1.6,0.5,1,4.8,5.5,14.1,1320,6,188,10.2,21.2
NZW/LacJ,f,1058F12,15.6,8.58,13.9,40.6,47.3,16.2,34.2,35.8,16.3,3.1,11.7,81,1.9,0.3,1.4,3.8,4.6,14.5,1270,6,216,9.86,20.2
NZW/LacJ,m,1058M01,16,8.43,14,40.2,47.6,16.6,34.9,32.3,17.3,2.51,34.5,57.9,1.6,0.7,1.4,3.8,4.3,13,1370,10.7,245,9.33,19.9
NZW/LacJ,m,1058M02,7.61,9.15,15.1,43.2,47.2,16.5,34.9,31.3,15.4,2.39,17.2,76.3,1.2,1.9,0.9,2.4,3.7,13.5,1460,13.9,261,9.72,20.6
NZW/LacJ,m,1058M03,9.77,8.95,14.4,41.3,46.1,16.1,34.9,32.1,15.6,2.32,18.2,76.2,1.5,0.3,0.9,2.9,3,13.2,1430,12.3,259,9.55,23
NZW/LacJ,m,1058M04,18.2,8.34,13.3,38.7,46.4,16,34.4,32.1,16.9,2.59,41.1,52.8,1.1,0.6,1,3.3,3.1,12.4,1610,10,192,10.2,
NZW/LacJ,m,1058M05,15.5,8.94,14.9,42.1,47,16.7,35.4,31.4,16.2,2.58,32,60.9,1.5,0.7,1.7,3.3,2.9,13.2,1840,13.8,221,9.56,20.3
